Metric,LLaMA 3.1 8B,Gemma 4 E4B,Qwen 3.5 9B (instruct),DeepSeek-R1 8B,Qwen 3.5 9B (thinking)
Per-instance Correct,8,10,10,16,11
Per-instance Total,39,39,39,39,39
Per-instance Accuracy,0.2051,0.2564,0.2564,0.4103,0.2821
TP,5,5,5,7,6
FP,15,11,10,11,5
FN,5,5,5,3,4
TN,131,135,136,135,141
Adjacency Precision,0.3529,0.4000,0.3571,0.3889,0.6000
Adjacency Recall,0.6000,0.6000,0.5000,0.7000,0.6000
Adjacency F1,0.4444,0.4800,0.4167,0.5000,0.6000
Orientation Precision,0.2500,0.3125,0.3333,0.3889,0.5455
Orientation Recall,0.5000,0.5000,0.5000,0.7000,0.6000
Orientation F1,0.3333,0.3846,0.4000,0.5000,0.5714
SHD,19,15,15,14,9
Skeleton SHD,15,13,14,14,8
Normalized SHD (by GT edges),1.9000,1.5000,1.5000,1.4000,0.9000
MCC,0.2910,0.3428,0.3585,0.4789,0.5413
Balanced Accuracy,0.6986,0.7123,0.7158,0.8123,0.7829
FDR,0.7500,0.6875,0.6667,0.6111,0.4545
Accuracy,0.8718,0.8974,0.9038,0.9103,0.9423
Exact Match,0,0,0,0,0
